id,author_id,display_name,main_institution_name,main_institution_id,main_institution_type,simplified_institution_category,target_firm_label,primary_institution_for_display_this_year,primary_category_for_display_this_year,primary_target_firm_for_display_this_year,all_institution_names_this_year,all_target_firm_labels_this_year,has_multiple_affiliations_this_year,has_multiple_categories_this_year,publication_count,year_list,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
A5041538187,A5041538187,Hakim Sidahmed,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0008404146045382389,18.0,0.0,8.683406333252364e-10,12
A5041539748,A5041539748,Jinlu Zhang,Tianjin University of Traditional Chinese Medicine,I12411659,education,education,Other,Tianjin University of Traditional Chinese Medicine,education,Other,Tianjin University of Traditional Chinese Medicine;Zhejiang University of Technology,Other,True,False,1,2024,0.00032682790176487064,7.0,0.0,2.1385315891761044e-13,22
A5041541232,A5041541232,Gautam Srivastava,Brandon University,I48890080,education,education,Other,Brandon University,education,Other,Brandon University,Other,False,False,1,2024,0.0005135867027733682,11.0,0.0,1.1316517244266499e-58,429
A5041544942,A5041544942,Vanesa Delgado Benito,Universidad de Burgos,I46176106,education,education,Other,Universidad de Burgos,education,Other,Universidad de Burgos,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,380
A5041548362,A5041548362,Mungyo Jung,Seoul National University,I139264467,education,education,Other,Seoul National University,education,Other,Seoul National University,Other,False,False,1,2024,0.0006069661032776169,13.0,0.0,4.8102025873088156e-54,855
A5041549115,A5041549115,Defu Cao,California Southern University,I2800817003,education,education,Other,California Southern University,education,Other,California Southern University;University of Southern California,Other,True,False,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,1884
A5041553790,A5041553790,El Moatez Billah Nagoudi,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,462
A5041553936,A5041553936,Chenliang Liu,Advanced Energy (United States),I4210095908,company,company,Other,Advanced Energy (United States),company,Other,Advanced Energy (United States);Central South University,Other,True,True,1,2024,0.00028013820151274625,6.0,0.0,2.0372000372092235e-75,1502
A5041554597,A5041554597,Pareesa Ameneh Golnari,Microsoft (United States),I1290206253,company,company,Microsoft,Microsoft (United States),company,Microsoft,Bellevue Hospital Center;Microsoft (United States),Microsoft;Other,True,True,1,2024,0.0005602764030254925,12.0,0.0,1.8049760613952e-14,375
A5041560478,A5041560478,Igor Molybog,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0008404146045382389,18.0,0.0,3.7654201751289124e-09,143
A5041567418,A5041567418,Yang Song,UNSW Sydney,I31746571,education,education,Other,UNSW Sydney,education,Other,UNSW Sydney,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,1.2710997097214815e-76,69
A5041575226,A5041575226,Soeren S. Lienkamp,University of Zurich,I202697423,education,education,Other,University of Zurich,education,Other,University of Zurich,Other,False,False,1,2024,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,1092
A5041579490,A5041579490,Zhe Xiong,China National Petroleum Corporation (China),I98227222,company,company,Other,China National Petroleum Corporation (China),company,Other,China National Petroleum Corporation (China),Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,627
A5041591967,A5041591967,Ilia Igashov,École Polytechnique Fédérale de Lausanne,I5124864,education,education,Other,École Polytechnique Fédérale de Lausanne,education,Other,École Polytechnique Fédérale de Lausanne,Other,False,False,2,2024,0.0007470352040339901,20.0,3.468520931351071e-05,2.9614362995961407e-16,83
A5041599929,A5041599929,Pervaiz Akhtar,University of Aberdeen,I195460627,education,education,Other,University of Aberdeen,education,Other,University of Aberdeen,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,1259
A5041613854,A5041613854,Xiaowei Hu,Shanghai Artificial Intelligence Laboratory,I4391012619,facility,research_institute,Other,Shanghai Artificial Intelligence Laboratory,research_institute,Other,Shanghai Artificial Intelligence Laboratory,Other,False,False,1,2024,0.00032682790176487064,7.0,0.0,3.064098771952737e-53,551
A5041626688,A5041626688,Hui‐Chin Yeh,National Yunlin University of Science and Technology,I75357094,education,education,Other,National Yunlin University of Science and Technology,education,Other,National Yunlin University of Science and Technology,Other,False,False,1,2024,0.0,0.0,0.0,2.028022805555577e-135,1885
A5041633236,A5041633236,Jarrid Rector-Brooks,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0005135867027733682,11.0,0.0,8.853520413514358e-15,83
A5041645225,A5041645225,Hussam Al Halbusi,Ahmed Bin Mohammed Military College,I4210092050,education,education,Other,Ahmed Bin Mohammed Military College,education,Other,Ahmed Bin Mohammed Military College,Other,False,False,1,2024,9.337940050424876e-05,2.0,0.0,1.5229369349934825e-101,650
A5041671119,A5041671119,Fabrizio J. Piva,Eindhoven University of Technology,I83019370,education,education,Other,Eindhoven University of Technology,education,Other,Eindhoven University of Technology,Other,False,False,1,2024,0.00018675880100849752,4.0,0.0,1.9654624766958116e-78,1449
A5041676520,A5041676520,Mike A. Nalls,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00018675880100849752,4.0,0.0,5.634616646224619e-09,132
A5041680406,A5041680406,Leon Weber,,,,unknown,Other,,unknown,Other,,,False,False,2,2024,0.00032682790176487064,14.0,0.0,1.445156107204944e-09,24
A5041691398,A5041691398,Stefan E. Huber,University of Graz,I15766117,education,education,Other,University of Graz,education,Other,University of Graz,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,5.191157384468269e-43,163
A5041701240,A5041701240,Chen Hong,Tsinghua University,I99065089,education,education,Other,Tsinghua University,education,Other,Tsinghua University,Other,False,False,1,2024,0.00028013820151274625,6.0,0.0,1.6126029884539299e-62,350
A5041704835,A5041704835,Md. Jakir Hossen,Multimedia University,I173029219,education,education,Other,Multimedia University,education,Other,Multimedia University,Other,False,False,1,2024,0.00028013820151274625,6.0,0.0,2.0372000372092235e-75,996
A5041709697,A5041709697,Angela Lorusso,University of Auckland,I154130895,education,education,Other,University of Auckland,education,Other,University of Auckland,Other,False,False,1,2024,0.00018675880100849752,4.0,0.0,2.834831256903227e-43,756
A5041711974,A5041711974,Andrea Moglia,Politecnico di Milano,I93860229,education,education,Other,Politecnico di Milano,education,Other,Politecnico di Milano,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,1629
A5041717727,A5041717727,Sourav Banerjee,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,4.668970025212438e-05,1.0,0.0,4.78853346172546e-114,1886
A5041724322,A5041724322,Zachary A. Osman,Stanford University,I97018004,education,education,Other,Stanford University,education,Other,Stanford University,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,479
A5041726005,A5041726005,Buying Niu,Shanghai Institute of Materia Medica,I4210112820,facility,research_institute,Other,Shanghai Institute of Materia Medica,research_institute,Other,Chinese Academy of Sciences;Shanghai Institute of Materia Medica;University of Chinese Academy of Sciences,Other,True,True,1,2024,0.0007937249042861144,17.0,0.0,1.8378808467949436e-14,657
A5041727387,A5041727387,Kun Kuang,Zhejiang University of Science and Technology,I168879160,education,education,Other,Zhejiang University of Science and Technology,education,Other,Zhejiang University of Science and Technology,Other,False,False,2,2024,0.001120552806050985,24.0,0.001158532300231128,4.2913222292397147e-13,65
A5041727712,A5041727712,Kudirat Ibilola Zakariyyah,University of Brighton,I71637028,education,education,Other,University of Brighton,education,Other,University of Brighton,Other,False,False,1,2024,0.00018675880100849752,4.0,0.0,2.2830753459127195e-74,1042
A5041729910,A5041729910,Fangsheng Weng,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,498
A5041733030,A5041733030,Elliot Blanchard,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0,0.0,0.0,2.028022805555577e-135,1887
A5041743309,A5041743309,Canyu Chen,Illinois Institute of Technology,I180949307,education,education,Other,Illinois Institute of Technology,education,Other,Illinois Institute of Technology,Other,False,False,1,2024,4.668970025212438e-05,1.0,0.0,4.78853346172546e-114,1888
A5041745766,A5041745766,Mateusz Malinowski,Google (United States),I1291425158,company,company,Google / Google DeepMind / DeepMind,Google (United States),company,Google / Google DeepMind / DeepMind,Google (United States);Google DeepMind (United Kingdom),Google / Google DeepMind / DeepMind,True,False,1,2024,0.00037351760201699503,8.0,0.0,1.143644391775941e-67,810
A5041747384,A5041747384,Christos Makridis,Arizona State University,I55732556,education,education,Other,Arizona State University,education,Other,Arizona State University;University of Nicosia,Other,True,False,1,2024,0.00032682790176487064,7.0,0.0,1.7562006552058455e-69,662
A5041751577,A5041751577,Maria Alabdulrahman,Prince Mohammad bin Fahd University,I138564716,education,education,Other,Prince Mohammad bin Fahd University,education,Other,Prince Mohammad bin Fahd University,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,1889
A5041757523,A5041757523,Md. Mohsin Kabir,Eötvös Loránd University,I106118109,education,education,Other,Eötvös Loránd University,education,Other,Eötvös Loránd University,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,2.969409179532648e-73,802
A5041767678,A5041767678,Gürşans Güven,University of Manitoba,I46247651,education,education,Other,University of Manitoba,education,Other,University of Manitoba,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,1745
A5041777043,A5041777043,Yilun Du,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,1494
A5041777363,A5041777363,Ameet Deshpande,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,1288
A5041789974,A5041789974,Steven J. Biller,Wellesley College,I189731429,education,education,Other,Wellesley College,education,Other,Wellesley College,Other,False,False,1,2024,9.337940050424876e-05,2.0,0.0,1.5229369349934825e-101,1187
A5041809943,A5041809943,Hongyu Lin,Institute of Software,I4210128818,facility,research_institute,Other,Institute of Software,research_institute,Other,Chinese Academy of Sciences;Institute of Software,Other,True,True,2,2024,0.00032682790176487064,9.0,0.0,2.6886278203530526e-70,1890
A5041839487,A5041839487,John D. Franklin,Politeknik Kesehatan Kemenkes Semarang,I4210163543,education,education,Other,Politeknik Kesehatan Kemenkes Semarang,education,Other,Politeknik Kesehatan Kemenkes Semarang,Other,False,False,1,2024,9.337940050424876e-05,2.0,0.0,1.5229369349934825e-101,664
A5041840270,A5041840270,Leda Tortora,Trinity College Dublin,I205274468,education,education,Other,Trinity College Dublin,education,Other,Trinity College Dublin,Other,False,False,1,2024,0.0,0.0,0.0,2.028022805555577e-135,1891
A5041854978,A5041854978,Thippa Reddy Gadekallu,Chitkara University,I74319210,education,education,Other,Chitkara University,education,Other,Chitkara University;Lovely Professional University,Other,True,False,1,2024,0.0005135867027733682,11.0,0.0,1.1316517244266499e-58,429
A5041857260,A5041857260,Sheng Zhang,Microsoft (United States),I1290206253,company,company,Microsoft,Microsoft (United States),company,Microsoft,Microsoft (United States),Microsoft,False,False,1,2024,0.0010271734055467363,22.0,0.0,1.2001086745813272e-05,0
A5041863346,A5041863346,Christina Y. Yu,Genmab (United States),I266595603,company,company,Other,Genmab (United States),company,Other,Genmab (United States),Other,False,False,1,2024,0.0004668970025212438,10.0,0.0,1.7617873229081176e-61,808
A5041876284,A5041876284,Brian J. Oldfield,Australian Regenerative Medicine Institute,I2801239119,facility,research_institute,Other,Australian Regenerative Medicine Institute,research_institute,Other,Australian Regenerative Medicine Institute;Discovery Institute;Monash University,Other,True,True,1,2024,9.337940050424876e-05,2.0,0.0,1.5229369349934825e-101,1394
A5041886956,A5041886956,Manoochehr Shirzaei,"United Nations University Institute for Water, Environment, and Health",I4210132586,facility,research_institute,Other,"United Nations University Institute for Water, Environment, and Health",research_institute,Other,"United Nations University Institute for Water, Environment, and Health;Virginia Tech",Other,True,True,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,1892
A5041899005,A5041899005,Jean-Philippe Fauconnier,Apple (United States),I4210153776,company,company,Apple,Apple (United States),company,Apple,Apple (United States),Apple,False,False,1,2024,0.0013073116070594826,28.0,0.0,3.727768137269434e-08,0
A5041901127,A5041901127,T. F. Qi,University of Science and Technology of China,I126520041,education,education,Other,University of Science and Technology of China,education,Other,University of Science and Technology of China,Other,False,False,1,2024,0.00032682790176487064,7.0,0.0,1.0216526447170128e-15,58
A5041916202,A5041916202,Cheng‐Peng Li,Alibaba Group (United States),I4210095624,company,company,Other,Alibaba Group (United States),company,Other,Alibaba Group (United States),Other,False,False,3,2024,0.0006536558035297413,15.0,2.7500745263928394e-05,1.8404199398068017e-14,103
A5041920173,A5041920173,Ion Stoica,Berkeley College,I134446601,education,education,Other,Berkeley College,education,Other,Berkeley College,Other,False,False,3,2024,0.0010271734055467363,22.0,0.0007321149792657421,1.009570613548911e-06,2
A5041921496,A5041921496,Fuzhen Zhuang,Beihang University,I82880672,education,education,Other,Beihang University,education,Other,Beihang University,Other,False,False,2,2024,0.0004668970025212438,10.0,0.0012870308629451975,1.7087050567564409e-09,115
A5041924999,A5041924999,Jana-Rebecca Rehse,University of Mannheim,I177802217,education,education,Other,University of Mannheim,education,Other,University of Mannheim,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,1436
A5041934829,A5041934829,Iyad Khamaysi,Rambam Health Care Campus,I2801301638,healthcare,healthcare,Other,Rambam Health Care Campus,healthcare,Other,Rambam Health Care Campus,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,1148
A5041945106,A5041945106,Shunian Chen,,,,unknown,Other,,unknown,Other,,,False,False,2,2024,0.0007937249042861144,18.0,3.879749037001963e-05,6.083817619293404e-11,115
A5041948230,A5041948230,Zijin Yang,University of Science and Technology of China,I126520041,education,education,Other,University of Science and Technology of China,education,Other,University of Science and Technology of China,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,1.3015824694417676e-13,246
A5041955112,A5041955112,Jonas Weiß,IBM Research - Zurich,I4210126328,facility,research_institute,Other,IBM Research - Zurich,research_institute,Other,IBM Research - Zurich,Other,False,False,1,2024,0.0012139322065552339,26.0,0.0,7.094116004726216e-23,37
A5041959064,A5041959064,Ryan Julian,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0012139322065552339,26.0,0.0,3.582563415673725e-10,90
A5041961903,A5041961903,Chia-Chun Hung,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0021477262115977215,46.0,0.0,1.2908377062822347e-12,195
A5041971576,A5041971576,Chunpeng Du,Kunming University,I146071755,education,education,Other,Kunming University,education,Other,Kunming University,Other,False,False,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,1893
A5041995188,A5041995188,Jinda Zhang,Science North,I2802805919,archive,research_institute,Other,Science North,research_institute,Other,Science North,Other,False,False,1,2024,0.00028013820151274625,6.0,0.0,5.760975830444356e-11,83
A5042006948,A5042006948,Sangwoo Cho,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00032682790176487064,7.0,0.0,3.395186468235023e-14,240
A5042011218,A5042011218,Anthony C. Constantinou,Queen Mary University of London,I166337079,education,education,Other,Queen Mary University of London,education,Other,Queen Mary University of London,Other,False,False,1,2024,9.337940050424876e-05,2.0,0.0,1.5229369349934825e-101,1649
A5042013742,A5042013742,Wenyue Hua,"Rutgers, The State University of New Jersey",I102322142,education,education,Other,"Rutgers, The State University of New Jersey",education,Other,"Rutgers, The State University of New Jersey",Other,False,False,4,2024,0.0005135867027733682,22.0,7.263520492964326e-07,2.211242873889296e-49,238
A5042018181,A5042018181,Nan Duan,Microsoft (United States),I1290206253,company,company,Microsoft,Microsoft (United States),company,Microsoft,Microsoft (United States),Microsoft,False,False,3,2024,0.0009804837052946119,22.0,0.0007408790902823613,2.1401502716476202e-13,24
A5042022280,A5042022280,Meilin Shi,University of Vienna,I129774422,education,education,Other,University of Vienna,education,Other,University of Vienna,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,1894
A5042024124,A5042024124,Kommy Weldemariam,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.001354001307311607,29.0,0.0,8.165898617778321e-22,37
A5042043446,A5042043446,Ha-Kyung Kwon,Toyota Industries (United States),I917207718,company,company,Other,Toyota Industries (United States),company,Other,Toyota Industries (United States);Toyota Research Institute,Other,True,True,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,1370
A5042055991,A5042055991,Jia Xu,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00028013820151274625,6.0,0.0,2.0372000372092235e-75,1245
A5042066408,A5042066408,Jing Xu,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00028013820151274625,6.0,0.0,1.4064394486789398e-13,96
A5042083601,A5042083601,Anyang Su,Mininglamp (China),I4401726980,company,company,Other,Mininglamp (China),company,Other,Beijing Academy of Artificial Intelligence;Mininglamp (China);Shanghai Artificial Intelligence Laboratory,Other,True,True,1,2024,0.0002334485012606219,5.0,0.0,1.932116326358435e-52,551
A5042083805,A5042083805,V. Ashley Villar,The NSF AI Institute for Artificial Intelligence and Fundamental Interactions,I4210160315,facility,research_institute,Other,The NSF AI Institute for Artificial Intelligence and Fundamental Interactions,research_institute,Other,Center for Astrophysics Harvard & Smithsonian;The NSF AI Institute for Artificial Intelligence and Fundamental Interactions,Other,True,True,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,1189
A5042086739,A5042086739,Haoyu Dong,Duke University,I170897317,education,education,Other,Duke University,education,Other,Duke University,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,149
A5042088170,A5042088170,Rainer Hilscher,RTI International,I180297670,funder,unknown,Other,RTI International,unknown,Other,RTI International,Other,False,False,2,2024,0.0005135867027733682,19.0,0.0,7.960941460796373e-45,495
A5042095646,A5042095646,Subhabrata Majumdar,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,1895
A5042097351,A5042097351,Saghir Alfasly,Mayo Clinic in Florida,I4210146710,healthcare,healthcare,Other,Mayo Clinic in Florida,healthcare,Other,Mayo Clinic in Florida,Other,False,False,1,2024,0.0006536558035297413,14.0,0.0,6.449888802649802e-52,521
A5042100771,A5042100771,Clément Vignac,École Polytechnique Fédérale de Lausanne,I5124864,education,education,Other,École Polytechnique Fédérale de Lausanne,education,Other,École Polytechnique Fédérale de Lausanne,Other,False,False,1,2024,0.00037351760201699503,8.0,0.0,1.4489525423219393e-16,83
A5042104204,A5042104204,Jan Griewatz,University of Tübingen,I8087733,education,education,Other,University of Tübingen,education,Other,University of Tübingen,Other,False,False,1,2024,0.0004202073022691194,9.0,0.0,2.028022805555576e-64,585
A5042112718,A5042112718,Benedikt Blumenstiel,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0014006910075637315,30.0,0.0,8.38655645140058e-22,37
A5042121728,A5042121728,Shaphali Gupta,Ministry of AYUSH,I4210124368,government,government,Other,Ministry of AYUSH,government,Other,Ministry of AYUSH,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,725
A5042135500,A5042135500,Natalya N. Bazarova,Cornell University,I205783295,education,education,Other,Cornell University,education,Other,Cornell University,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,437
A5042139747,A5042139747,Duanhua Cao,Shanghai Institute of Materia Medica,I4210112820,facility,research_institute,Other,Shanghai Institute of Materia Medica,research_institute,Other,Chinese Academy of Sciences;Shanghai Institute of Materia Medica;Zhejiang Lab;Zhejiang University,Other,True,True,1,2024,0.0007937249042861144,17.0,0.0,1.8378808467949436e-14,657
A5042140592,A5042140592,Amir M. Rahmani,"University of California, Irvine",I204250578,education,education,Other,"University of California, Irvine",education,Other,"University of California, Irvine",Other,False,False,1,2024,0.0006069661032776169,13.0,0.0,6.788681716113083e-09,91
A5042160852,A5042160852,Bo Peng,Institute of Automation,I4210112150,facility,research_institute,Other,Institute of Automation,research_institute,Other,Chinese Academy of Sciences;Institute of Automation,Other,True,True,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,1202
A5042180831,A5042180831,Yichao Wang,Huawei Technologies (China),I2250955327,company,company,Other,Huawei Technologies (China),company,Other,City University of Hong Kong;Huawei Technologies (China),Other,True,True,1,2024,0.00028013820151274625,6.0,0.0,2.9000938550344618e-11,414
A5042193595,A5042193595,Ian Foster,Argonne National Laboratory,I1282105669,facility,research_institute,Other,Argonne National Laboratory,research_institute,Other,Argonne National Laboratory;University of Chicago,Other,True,True,1,2024,0.0012139322065552339,26.0,0.0,7.094116004726216e-23,37
A5042198067,A5042198067,Jin Yamamura,Universität Hamburg,I159176309,education,education,Other,Universität Hamburg,education,Other,University Medical Center Hamburg-Eppendorf;Universität Hamburg,Other,True,True,1,2024,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,1896
A5042217917,A5042217917,Haechan Lee,Dong-A University,I51226738,education,education,Other,Dong-A University,education,Other,Dong-A University,Other,False,False,1,2024,9.337940050424876e-05,2.0,0.0,1.5229369349934825e-101,1147
A5042218238,A5042218238,Chunli Zhu,Beijing Institute of Technology,I125839683,education,education,Other,Beijing Institute of Technology,education,Other,Beijing Institute of Technology,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,378
A5042224273,A5042224273,Paul P. Wang,Cedars-Sinai Medical Center,I1282927834,healthcare,healthcare,Other,Cedars-Sinai Medical Center,healthcare,Other,Cedars-Sinai Medical Center,Other,False,False,1,2024,0.00028013820151274625,6.0,0.0,7.03989437956895e-74,1374
A5042231089,A5042231089,Chuan Guo,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0018675880100849753,40.0,0.0,9.521793756096558e-12,96
A5042233221,A5042233221,Deshun Li,Hainan University,I20942203,education,education,Other,Hainan University,education,Other,Hainan University,Other,False,False,1,2024,0.00028013820151274625,6.0,0.0,2.0372000372092235e-75,931
A5042234223,A5042234223,Rui Mata,University of Basel,I1850255,education,education,Other,University of Basel,education,Other,University of Basel,Other,False,False,2,2024,0.0018675880100849753,40.0,0.0005321566406881078,0.004455170226140962,88
A5042237956,A5042237956,Shiyu Huang,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0007470352040339901,16.0,0.0,1.2864587727276426e-10,96
A5042245035,A5042245035,Weirui Kuang,Alibaba Group (China),I45928872,company,company,Other,Alibaba Group (China),company,Other,Alibaba Group (China),Other,False,False,1,2024,0.0004202073022691194,9.0,0.0,5.628381504481082e-14,103
A5042251906,A5042251906,Irwin King,Chinese University of Hong Kong,I177725633,education,education,Other,Chinese University of Hong Kong,education,Other,Chinese University of Hong Kong;Shatin Hospital,Other,True,True,3,2024,0.0011672425063031094,25.0,0.0027463373044873344,3.222158617092712e-11,115
A5042257703,A5042257703,Shenghuan Sun,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00028013820151274625,6.0,0.0,6.5152597356090415e-06,31
A5042260305,A5042260305,Kebin Wu,Technology Innovation Institute,I4210087059,facility,research_institute,Other,Technology Innovation Institute,research_institute,Other,Technology Innovation Institute,Other,False,False,1,2024,9.337940050424876e-05,2.0,0.0,1.5229369349934825e-101,1897
A5042290109,A5042290109,Johannes Zink,University of Würzburg,I25974101,education,education,Other,University of Würzburg,education,Other,University of Würzburg,Other,False,False,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,261
A5042295020,A5042295020,Maribel Yasmina Santos,University of Minho,I99682543,education,education,Other,University of Minho,education,Other,University of Minho,Other,False,False,1,2024,0.00037351760201699503,8.0,0.0,1.143644391775941e-67,428
A5042307561,A5042307561,H. Vincent Poor,Princeton University,I20089843,education,education,Other,Princeton University,education,Other,Princeton University,Other,False,False,5,2024,0.0011672425063031094,40.0,0.0,3.5412638563037567e-09,108
A5042309101,A5042309101,Shuchen Wu,,,,unknown,Other,,unknown,Other,,,False,False,2,2024,0.002007657110841348,79.0,0.0,0.1596111775203207,71
A5042310701,A5042310701,Mengyun Qiao,Imperial College London,I47508984,education,education,Other,Imperial College London,education,Other,Imperial College London,Other,False,False,1,2024,0.0004668970025212438,10.0,0.0,1.7617873229081176e-61,1536
A5042319745,A5042319745,Sebastian Gerard,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0006069661032776169,13.0,0.0,4.8102025873088156e-54,623
A5042321060,A5042321060,Liam Parker,Flatiron Health (United States),I4210153546,company,company,Other,Flatiron Health (United States),company,Other,Flatiron Health (United States);Flatiron Institute,Other,True,True,1,2024,0.0006536558035297413,14.0,0.0,6.449888802649802e-52,1246
A5042321575,A5042321575,Mark Gerstein,Yale University,I32971472,education,education,Other,Yale University,education,Other,Shanghai Jiao Tong University;Yale University,Other,True,False,2,2024,0.0006069661032776169,13.0,0.0001045946950986863,1.5133692618493487e-13,213
A5042324027,A5042324027,Hanwang Zhang,Nanyang Technological University,I172675005,education,education,Other,Nanyang Technological University,education,Other,Nanyang Technological University;Skyworks Solutions (United States),Other,True,True,4,2024,0.0008404146045382389,19.0,0.0022876170965696586,1.899210637859258e-12,143
A5042325005,A5042325005,Javier Murgoitio-Esandi,University of Southern California,I1174212,education,education,Other,University of Southern California,education,Other,University of Southern California,Other,False,False,1,2024,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,236
A5042328810,A5042328810,Brian D. Davison,Lehigh University,I186143895,education,education,Other,Lehigh University,education,Other,Lehigh University,Other,False,False,1,2024,0.0010271734055467363,22.0,0.0,1.9918232533792766e-08,72
A5042331995,A5042331995,Akhil Vaid,Icahn School of Medicine at Mount Sinai,I98704320,education,education,Other,Icahn School of Medicine at Mount Sinai,education,Other,Child Health and Development Institute;Icahn School of Medicine at Mount Sinai;Mount Sinai Health System,Other,True,True,3,2024,0.001354001307311607,32.0,0.00011128751041006055,4.1556481974288124e-05,17
A5042345460,A5042345460,Tianlin Zhang,University of Manchester,I28407311,education,education,Other,University of Manchester,education,Other,Jiangxi Normal University;University of Manchester;Wuhan University,Other,True,False,3,2024,0.0014940704080679801,40.0,1.2140455681097516e-06,3.83421541141183e-09,132
A5042348675,A5042348675,Richard May,Harz University of Applied Sciences,I94575722,education,education,Other,Harz University of Applied Sciences,education,Other,Harz University of Applied Sciences,Other,False,False,1,2024,4.668970025212438e-05,1.0,0.0,4.78853346172546e-114,1482
A5042350842,A5042350842,Minsuk Kahng,Google (United States),I1291425158,company,company,Google / Google DeepMind / DeepMind,Google (United States),company,Google / Google DeepMind / DeepMind,Google (United States),Google / Google DeepMind / DeepMind,False,False,2,2024,0.0010738631057988608,23.0,0.00046647366251601613,2.7869389780191884e-06,12
A5042355894,A5042355894,Suleman Mazhar,Information Technology University,I1323252656,education,education,Other,Information Technology University,education,Other,Information Technology University;University of the Punjab,Other,True,False,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,792
A5042356061,A5042356061,Malte Rödl,Swedish University of Agricultural Sciences,I298625061,education,education,Other,Swedish University of Agricultural Sciences,education,Other,Swedish University of Agricultural Sciences,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,1164
A5042360194,A5042360194,Pierre Alain Gevenois,Université Libre de Bruxelles,I132053463,education,education,Other,Université Libre de Bruxelles,education,Other,Université Libre de Bruxelles,Other,False,False,1,2024,0.0005602764030254925,12.0,0.0,2.49488681700384e-56,1444
A5042360234,A5042360234,Mohammad Ali Akhaee,University of Tehran,I23946033,education,education,Other,University of Tehran,education,Other,University of Tehran,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,1562
A5042361014,A5042361014,Yireun Kim,,,,unknown,Other,,unknown,Other,,,False,False,2,2024,0.001727518909328602,38.0,4.669406031191353e-07,5.409448723787228e-26,156
