author_id,author_name,year,all_institution_ids_this_year,all_institution_names_this_year,all_institution_types_this_year,all_target_firm_labels_this_year,has_company_affiliation_this_year,has_education_affiliation_this_year,has_research_institute_affiliation_this_year,has_multiple_affiliations_this_year,has_multiple_categories_this_year,has_company_and_education_this_year,has_company_and_research_institute_this_year,primary_institution_for_display_this_year,primary_institution_id_for_display_this_year,primary_institution_type_for_display_this_year,primary_category_for_display_this_year,primary_target_firm_for_display_this_year,raw_recovered_affiliation_count_this_year
A5025808646,Inhwan Bae,2024,I3130020584,International Graduate School of English,education,Other,False,True,False,False,False,False,False,International Graduate School of English,I3130020584,education,education,Other,0
A5025815548,Jari Peeperkorn,2022,I99464096,KU Leuven,education,Other,False,True,False,False,False,False,False,KU Leuven,I99464096,education,education,Other,0
A5025816476,Dae-Gyun Park,2025,I97018004,Stanford University,education,Other,False,True,False,False,False,False,False,Stanford University,I97018004,education,education,Other,0
A5025818842,Dina El-Zanfaly,2023,I74973139,Carnegie Mellon University,education,Other,False,True,False,False,False,False,False,Carnegie Mellon University,I74973139,education,education,Other,0
A5025821218,Valentin Koch,2024,I3018134672;I62916508,Helmholtz Zentrum München;Technical University of Munich,education;facility,Other,False,True,True,True,True,False,False,Technical University of Munich,I62916508,education,education,Other,0
A5025823908,Donna Craig,2022,I192455969,York University,education,Other,False,True,False,False,False,False,False,York University,I192455969,education,education,Other,0
A5025824247,Sumit Purohit,2022,I142606810,Pacific Northwest National Laboratory,facility,Other,False,False,True,False,False,False,False,Pacific Northwest National Laboratory,I142606810,facility,research_institute,Other,0
A5025827068,Maximilian Tschochohei,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025827247,Hongkai Zheng,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025828990,Sonali Parbhoo,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025830443,Jeremy G. Frey,2025,I43439940,University of Southampton,education,Other,False,True,False,False,False,False,False,University of Southampton,I43439940,education,education,Other,0
A5025830560,Matthias Hein,2023,I143910747,TH Bingen University of Applied Sciences,education,Other,False,True,False,False,False,False,False,TH Bingen University of Applied Sciences,I143910747,education,education,Other,0
A5025832241,Jingyang Zhang,2025,I170897317,Duke University,education,Other,False,True,False,False,False,False,False,Duke University,I170897317,education,education,Other,0
A5025832645,Adam Shore,2024,I63098007,Liverpool John Moores University,education,Other,False,True,False,False,False,False,False,Liverpool John Moores University,I63098007,education,education,Other,0
A5025832925,Lidia S. Chao,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025832925,Lidia S. Chao,2025,I204512498;I6469544,City University of Macau;University of Macau,education,Other,False,True,False,True,False,False,False,City University of Macau,I6469544,education,education,Other,0
A5025836373,Sudipta Banerjee,2023,I57206974,New York University,education,Other,False,True,False,False,False,False,False,New York University,I57206974,education,education,Other,0
A5025840695,Samuel J. Witte,2022,I4210114434;I887064364,Delta Institute for Theoretical Physics;University of Amsterdam,education;facility,Other,False,True,True,True,True,False,False,Delta Institute for Theoretical Physics,I4210114434,facility,research_institute,Other,0
A5025840986,Judith-Lisa Lieberum,2025,I2801240073,University Medical Center Freiburg,healthcare,Other,False,False,False,False,False,False,False,University Medical Center Freiburg,I2801240073,healthcare,healthcare,Other,0
A5025843920,Humam Kourani,2024,I4210110507;I887968799,Fraunhofer Institute for Applied Information Technology;RWTH Aachen University,education;facility,Other,False,True,True,True,True,False,False,Fraunhofer Institute for Applied Information Technology,I4210110507,facility,research_institute,Other,0
A5025843920,Humam Kourani,2025,I4210110507;I887968799,Fraunhofer Institute for Applied Information Technology;RWTH Aachen University,education;facility,Other,False,True,True,True,True,False,False,Fraunhofer Institute for Applied Information Technology,I4210110507,facility,research_institute,Other,0
A5025845612,Liudmyla Bondareva,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025849688,Yunxiao Guo,2024,I170215575,National University of Defense Technology,education,Other,False,True,False,False,False,False,False,National University of Defense Technology,I170215575,education,education,Other,0
A5025853223,Peng Zhu,2024,I99065089,Tsinghua University,education,Other,False,True,False,False,False,False,False,Tsinghua University,I99065089,education,education,Other,0
A5025855575,Haonan Li,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025855575,Haonan Li,2025,I4210113480,Mohamed bin Zayed University of Artificial Intelligence,education,Other,False,True,False,False,False,False,False,Mohamed bin Zayed University of Artificial Intelligence,I4210113480,education,education,Other,0
A5025857899,Jaime M. Hughes,2022,I4210119589;I47251452,Durham VA Health Care System;Wake Forest University,education;healthcare,Other,False,True,False,True,True,False,False,Wake Forest University,I47251452,education,education,Other,0
A5025859316,Kazi Sinthia Kabir,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025859844,John Kirchenbauer,2023,I66946132,"University of Maryland, College Park",education,Other,False,True,False,False,False,False,False,"University of Maryland, College Park",I66946132,education,education,Other,0
A5025859859,Moturi Karthikeya,2023,I81556334,Amrita Vishwa Vidyapeetham,education,Other,False,True,False,False,False,False,False,Amrita Vishwa Vidyapeetham,I81556334,education,education,Other,0
A5025862962,Bonnie Huang,2022,I1299303238;I4210090236;I4210134534,National Human Genome Research Institute;National Institute of Allergy and Infectious Diseases;National Institutes of Health,facility;government,Other,False,False,True,True,True,False,False,National Human Genome Research Institute,I4210090236,facility,research_institute,Other,0
A5025863269,Peiyu Yu,2024,I161318765,"University of California, Los Angeles",education,Other,False,True,False,False,False,False,False,"University of California, Los Angeles",I161318765,education,education,Other,0
A5025868896,Peter Sasieni,2024,I183935753;I4210119896,King's College London;King's College School,education,Other,False,True,False,True,False,False,False,King's College London,I183935753,education,education,Other,0
A5025871978,Palaiahnakote Shivakumara,2022,I33849332,University of Malaya,education,Other,False,True,False,False,False,False,False,University of Malaya,I33849332,education,education,Other,0
A5025871978,Palaiahnakote Shivakumara,2023,I33849332,University of Malaya,education,Other,False,True,False,False,False,False,False,University of Malaya,I33849332,education,education,Other,0
A5025872128,Adam G. Lilly,2022,I114027177,University of North Carolina at Chapel Hill,education,Other,False,True,False,False,False,False,False,University of North Carolina at Chapel Hill,I114027177,education,education,Other,0
A5025873944,Bo-Siang Chen,2025,I204246437,Nan Kai University of Technology,education,Other,False,True,False,False,False,False,False,Nan Kai University of Technology,I204246437,education,education,Other,0
A5025875147,Vinay Venkatesh,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025875723,A. M. Alshehri,2022,I99464096,KU Leuven,education,Other,False,True,False,False,False,False,False,KU Leuven,I99464096,education,education,Other,0
A5025876800,Brandon Silva,2024,I33213144,University of Florida,education,Other,False,True,False,False,False,False,False,University of Florida,I33213144,education,education,Other,0
A5025877787,Bowen Jin,2024,I157725225,University of Illinois Urbana-Champaign,education,Other,False,True,False,False,False,False,False,University of Illinois Urbana-Champaign,I157725225,education,education,Other,0
A5025877936,Mert R. Sabuncu,2023,I205783295;I4387153466,Cornell University;Weill Cornell Medicine,education,Other,False,True,False,True,False,False,False,Cornell University,I205783295,education,education,Other,0
A5025877936,Mert R. Sabuncu,2025,I205783295;I4387153466,Cornell University;Weill Cornell Medicine,education,Other,False,True,False,True,False,False,False,Cornell University,I205783295,education,education,Other,0
A5025880600,Aleksandar Shtedritski,2023,I2801081054;I40120149;I4210088273;I4396570515,Align Technology (United States);The Align Foundation;The Francis Crick Institute;University of Oxford,company;education;facility;nonprofit,Other,True,True,True,True,True,True,True,Align Technology (United States),I4210088273,company,company,Other,0
A5025886998,Andrew J. Vickers,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025887552,Ishaya Gambo,2025,I45711476,Obafemi Awolowo University,education,Other,False,True,False,False,False,False,False,Obafemi Awolowo University,I45711476,education,education,Other,0
A5025887855,Sameer Masood,2025,I1325899441;I185261750,University Health Network;University of Toronto,education;healthcare,Other,False,True,False,True,True,False,False,University of Toronto,I185261750,education,education,Other,0
A5025889186,Itai Ghersin,2024,I2801301638,Rambam Health Care Campus,healthcare,Other,False,False,False,False,False,False,False,Rambam Health Care Campus,I2801301638,healthcare,healthcare,Other,0
A5025890671,Zijie Song,2022,I16365422,Hefei University of Technology,education,Other,False,True,False,False,False,False,False,Hefei University of Technology,I16365422,education,education,Other,0
A5025891312,Panagiotis Radoglou‐Grammatikis,2025,I58918642;I89506807,"Sofia University ""St. Kliment Ohridski"";University of Western Macedonia",education,Other,False,True,False,True,False,False,False,"Sofia University ""St. Kliment Ohridski""",I58918642,education,education,Other,0
A5025892150,Litao Yang,2025,I4210121067;I56590836,Monash Health;Monash University,education;healthcare,Other,False,True,False,True,True,False,False,Monash University,I56590836,education,education,Other,0
A5025893013,Thomas Denize,2024,I1283280774;I4210117453,Brigham and Women's Hospital;Dana-Farber Cancer Institute,facility;healthcare,Other,False,False,True,True,True,False,False,Dana-Farber Cancer Institute,I4210117453,facility,research_institute,Other,0
A5025894072,Peng Hao,2025,I82880672,Beihang University,education,Other,False,True,False,False,False,False,False,Beihang University,I82880672,education,education,Other,0
A5025894735,Hod Lipson,2025,I78577930,Columbia University,education,Other,False,True,False,False,False,False,False,Columbia University,I78577930,education,education,Other,0
A5025895244,Norisma Idris,2025,I33849332,University of Malaya,education,Other,False,True,False,False,False,False,False,University of Malaya,I33849332,education,education,Other,0
A5025896653,Alec Koppel,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025896653,Alec Koppel,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025897218,Wei Zhang,2024,I19820366;I4210112820;I4210165038,Chinese Academy of Sciences;Shanghai Institute of Materia Medica;University of Chinese Academy of Sciences,education;facility;government,Other,False,True,True,True,True,False,False,Shanghai Institute of Materia Medica,I4210112820,facility,research_institute,Other,0
A5025897794,Qi Wang,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025901366,Dongchen Lu,2022,I204983213,Harbin Institute of Technology,education,Other,False,True,False,False,False,False,False,Harbin Institute of Technology,I204983213,education,education,Other,0
A5025902208,Francesco Fabiano,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025902208,Francesco Fabiano,2024,I10052268,New Mexico State University,education,Other,False,True,False,False,False,False,False,New Mexico State University,I10052268,education,education,Other,0
A5025906549,Stephanie Sanger,2025,I98251732,McMaster University,education,Other,False,True,False,False,False,False,False,McMaster University,I98251732,education,education,Other,0
A5025912277,Guanghua Fu,2025,I96733725,Shanghai Maritime University,education,Other,False,True,False,False,False,False,False,Shanghai Maritime University,I96733725,education,education,Other,0
A5025913685,Suchart Limkatanyu,2022,I131868736,Prince of Songkla University,education,Other,False,True,False,False,False,False,False,Prince of Songkla University,I131868736,education,education,Other,0
A5025913936,Kurt Junghanns,2024,I4210120885,Institut für Angewandte Trainingswissenschaft,facility,Other,False,False,True,False,False,False,False,Institut für Angewandte Trainingswissenschaft,I4210120885,facility,research_institute,Other,0
A5025920965,Srikanth Pilla,2025,I86501945,University of Delaware,education,Other,False,True,False,False,False,False,False,University of Delaware,I86501945,education,education,Other,0
A5025926397,Takufumi Yanagisawa,2024,I98285908,The University of Osaka,education,Other,False,True,False,False,False,False,False,The University of Osaka,I98285908,education,education,Other,0
A5025927559,Chu-Jun Peng,2024,I16733864,National Taiwan University,education,Other,False,True,False,False,False,False,False,National Taiwan University,I16733864,education,education,Other,0
A5025932345,Adam Szerencsy,2024,I57206974,New York University,education,Other,False,True,False,False,False,False,False,New York University,I57206974,education,education,Other,0
A5025932345,Adam Szerencsy,2025,I4210086933;I57206974,NYU Langone Health;New York University,education;healthcare,Other,False,True,False,True,True,False,False,New York University,I57206974,education,education,Other,0
A5025933060,Samantha Johnson,2022,I1294504835,Marshall Space Flight Center,facility,Other,False,False,True,False,False,False,False,Marshall Space Flight Center,I1294504835,facility,research_institute,Other,0
A5025934537,Xinhua Cheng,2024,I20231570,Peking University,education,Other,False,True,False,False,False,False,False,Peking University,I20231570,education,education,Other,0
A5025936391,Esther W. Chan,2024,I889458895,University of Hong Kong,education,Other,False,True,False,False,False,False,False,University of Hong Kong,I889458895,education,education,Other,0
A5025940407,Liviu I. Ignat,2022,I141595442;I58077936,Romanian Academy;University of Bucharest,archive;education,Other,False,True,True,True,True,False,False,Romanian Academy,I58077936,archive,research_institute,Other,0
A5025940525,Dimitris Bertsimas,2022,I4210110987;I4210113636;I63966007,Abdul Latif Jameel Poverty Action Lab;IIT@MIT;Massachusetts Institute of Technology,education;facility,Other,False,True,True,True,True,False,False,Abdul Latif Jameel Poverty Action Lab,I4210113636,facility,research_institute,Other,0
A5025940959,Soumya Sahoo,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025942951,Louis M. Staudt,2022,I1299303238;I4210140884,National Cancer Institute;National Institutes of Health,government,Other,False,False,False,True,False,False,False,National Cancer Institute,I4210140884,government,government,Other,0
A5025943458,Pierre Berthet,2022,I1281400175;I184942183,Oslo University Hospital;University of Oslo,education;healthcare,Other,False,True,False,True,True,False,False,University of Oslo,I184942183,education,education,Other,0
A5025943547,Yongqiang Zhou,2022,I4210140379,Institute of Rock and Soil Mechanics,facility,Other,False,False,True,False,False,False,False,Institute of Rock and Soil Mechanics,I4210140379,facility,research_institute,Other,0
A5025945671,Fengqing Qin,2024,I4210131342,Yibin University,education,Other,False,True,False,False,False,False,False,Yibin University,I4210131342,education,education,Other,0
A5025945757,Bernhard Clemm von Hohenberg,2024,I4210101898,GESIS - Leibniz-Institute for the Social Sciences,facility,Other,False,False,True,False,False,False,False,GESIS - Leibniz-Institute for the Social Sciences,I4210101898,facility,research_institute,Other,0
A5025947434,Alex Hanna,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025948040,Dinh Viet Sang,2023,I94518387,Hanoi University of Science and Technology,education,Other,False,True,False,False,False,False,False,Hanoi University of Science and Technology,I94518387,education,education,Other,0
A5025948481,Mingyu Liu,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025950368,Danila Sinopalnikov,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025952434,Howard P. Forman,2024,I32971472;I4210117499,Yale New Haven Health System;Yale University,education;healthcare,Other,False,True,False,True,True,False,False,Yale University,I32971472,education,education,Other,0
A5025952499,Xiao Liang,2024,I91045830,Texas A&M University,education,Other,False,True,False,False,False,False,False,Texas A&M University,I91045830,education,education,Other,0
A5025954326,So Ra Kim,2025,I4575257,Hanyang University,education,Other,False,True,False,False,False,False,False,Hanyang University,I4575257,education,education,Other,0
A5025955610,Pragasen Pillay,2022,I60158472,Concordia University,education,Other,False,True,False,False,False,False,False,Concordia University,I60158472,education,education,Other,0
A5025960290,Dongsuk Oh,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025966573,Ling Yuan,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025967912,Chryssa Themelis,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025967912,Chryssa Themelis,2025,I4210165875,NTNU Samfunnsforskning,facility,Other,False,False,True,False,False,False,False,NTNU Samfunnsforskning,I4210165875,facility,research_institute,Other,0
A5025968448,Leon M. T. Dicks,2022,I26092322,Stellenbosch University,education,Other,False,True,False,False,False,False,False,Stellenbosch University,I26092322,education,education,Other,0
A5025969261,Fanfan Lin,2024,I157725225;I76130692,University of Illinois Urbana-Champaign;Zhejiang University,education,Other,False,True,False,True,False,False,False,University of Illinois Urbana-Champaign,I157725225,education,education,Other,0
A5025970743,Chengchun Shi,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025973741,Andreas Liesenfeld,2023,I145872427,Radboud University Nijmegen,education,Other,False,True,False,False,False,False,False,Radboud University Nijmegen,I145872427,education,education,Other,0
A5025973741,Andreas Liesenfeld,2024,I145872427,Radboud University Nijmegen,education,Other,False,True,False,False,False,False,False,Radboud University Nijmegen,I145872427,education,education,Other,0
A5025976462,Ceyuan Yang,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025976462,Ceyuan Yang,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025976462,Ceyuan Yang,2024,I4210100255;I4391012619,Beijing Academy of Artificial Intelligence;Shanghai Artificial Intelligence Laboratory,facility;other,Other,False,False,True,True,False,False,False,Shanghai Artificial Intelligence Laboratory,I4391012619,facility,research_institute,Other,0
A5025976462,Ceyuan Yang,2025,I889458895,University of Hong Kong,education,Other,False,True,False,False,False,False,False,University of Hong Kong,I889458895,education,education,Other,0
A5025976966,Weirui Lei,2025,I173759888,Hunan Normal University,education,Other,False,True,False,False,False,False,False,Hunan Normal University,I173759888,education,education,Other,0
A5025978423,Eric Zimmermann,2024,I1290206253,Microsoft (United States),company,Microsoft,True,False,False,False,False,False,False,Microsoft (United States),I1290206253,company,company,Microsoft,0
A5025983490,Chumeng Jiang,2025,I99065089,Tsinghua University,education,Other,False,True,False,False,False,False,False,Tsinghua University,I99065089,education,education,Other,0
A5025984879,Fathy Eassa,2025,I185163786,King Abdulaziz University,education,Other,False,True,False,False,False,False,False,King Abdulaziz University,I185163786,education,education,Other,0
A5025989369,Guandong Li,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5025990925,Yi Wu,2023,I134446601;I95457486,"Berkeley College;University of California, Berkeley",education,Other,False,True,False,True,False,False,False,Berkeley College,I134446601,education,education,Other,0
A5025992284,Hannah Mieczkowski,2022,I97018004,Stanford University,education,Other,False,True,False,False,False,False,False,Stanford University,I97018004,education,education,Other,0
A5025998657,Yukun Guo,2024,I4800084,Southwest Jiaotong University,education,Other,False,True,False,False,False,False,False,Southwest Jiaotong University,I4800084,education,education,Other,0
A5026000348,Atse Louwen,2025,I1319360392,Eurac Research,nonprofit,Other,False,False,False,False,False,False,False,Eurac Research,I1319360392,nonprofit,nonprofit,Other,0
A5026001351,Wanxuan Lu,2022,I19820366;I4210137199,Aerospace Information Research Institute;Chinese Academy of Sciences,education;government,Other,False,True,False,True,True,False,False,Aerospace Information Research Institute,I4210137199,education,education,Other,0
A5026001351,Wanxuan Lu,2023,I19820366;I4210137199;I4210165038,Aerospace Information Research Institute;Chinese Academy of Sciences;University of Chinese Academy of Sciences,education;government,Other,False,True,False,True,True,False,False,Aerospace Information Research Institute,I4210137199,education,education,Other,0
A5026004758,Laura Moorhead,2022,I71838634,San Francisco State University,education,Other,False,True,False,False,False,False,False,San Francisco State University,I71838634,education,education,Other,0
A5026013485,Santosh Kumar Uppada,2022,I39244652,"Indian Institute of Information Technology, Design and Manufacturing, Kancheepuram",education,Other,False,True,False,False,False,False,False,"Indian Institute of Information Technology, Design and Manufacturing, Kancheepuram",I39244652,education,education,Other,0
A5026014762,Zachary Zaiman,2022,I150468666,Emory University,education,Other,False,True,False,False,False,False,False,Emory University,I150468666,education,education,Other,0
A5026016067,Оксана Чхало,2022,I84407627,Bogomolets National Medical University,education,Other,False,True,False,False,False,False,False,Bogomolets National Medical University,I84407627,education,education,Other,0
A5026019597,Rachel Schwartz,2024,I180670191,"University of California, San Francisco",education,Other,False,True,False,False,False,False,False,"University of California, San Francisco",I180670191,education,education,Other,0
A5026021659,Sizun Jiang,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026022035,Kaizhu Huang,2023,I4210159968,Duke Kunshan University,education,Other,False,True,False,False,False,False,False,Duke Kunshan University,I4210159968,education,education,Other,0
A5026022035,Kaizhu Huang,2024,I4210159968,Duke Kunshan University,education,Other,False,True,False,False,False,False,False,Duke Kunshan University,I4210159968,education,education,Other,0
A5026022705,Jun-Yan He,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026027596,Yan Jia,2022,I4210128818;I4210165038,Institute of Software;University of Chinese Academy of Sciences,education;facility,Other,False,True,True,True,True,False,False,Institute of Software,I4210128818,facility,research_institute,Other,0
A5026028381,Michael Müller,2022,I4210160315,The NSF AI Institute for Artificial Intelligence and Fundamental Interactions,facility,Other,False,False,True,False,False,False,False,The NSF AI Institute for Artificial Intelligence and Fundamental Interactions,I4210160315,facility,research_institute,Other,0
A5026028381,Michael Müller,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026028381,Michael Müller,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026028381,Michael Müller,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026031896,G. Matt,2022,I119003972,Roma Tre University,education,Other,False,True,False,False,False,False,False,Roma Tre University,I119003972,education,education,Other,0
A5026034009,Qiming Cui,2025,I180670191;I95457486,"University of California, Berkeley;University of California, San Francisco",education,Other,False,True,False,True,False,False,False,"University of California, Berkeley",I95457486,education,education,Other,0
A5026035207,Lin Ma,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026039657,Zoltán Nagy,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026042163,Shaowen Wang,2023,I157725225,University of Illinois Urbana-Champaign,education,Other,False,True,False,False,False,False,False,University of Illinois Urbana-Champaign,I157725225,education,education,Other,0
A5026042402,Tim Mullen,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026046326,Gaurav Shivhare,2022,I4210093804,Accenture (Ireland),company,Other,True,False,False,False,False,False,False,Accenture (Ireland),I4210093804,company,company,Other,0
A5026048265,Kara Barzangi,2023,I241749,University of Cambridge,education,Other,False,True,False,False,False,False,False,University of Cambridge,I241749,education,education,Other,0
A5026049901,Arianna Trozze,2024,I45129253,University College London,education,Other,False,True,False,False,False,False,False,University College London,I45129253,education,education,Other,0
A5026055366,Georgia Chalvatzaki,2023,I2800051377;I31512782,Hessisches Landesmuseum Darmstadt;Technische Universität Darmstadt,archive;education,Other,False,True,True,True,True,False,False,Hessisches Landesmuseum Darmstadt,I2800051377,archive,research_institute,Other,0
A5026055533,Ricardo Grau‐Crespo,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026055533,Ricardo Grau‐Crespo,2024,I71052956,University of Reading,education,Other,False,True,False,False,False,False,False,University of Reading,I71052956,education,education,Other,0
A5026058241,Ali Forooghi,2024,I74413500,University of Windsor,education,Other,False,True,False,False,False,False,False,University of Windsor,I74413500,education,education,Other,0
A5026059318,Amanda Graveline,2022,I136199984,Harvard University,education,Other,False,True,False,False,False,False,False,Harvard University,I136199984,education,education,Other,0
A5026061029,Ella Reimann,2022,I27837315;I4210130704,University of Michigan;University of Michigan–Dearborn,education,Other,False,True,False,True,False,False,False,University of Michigan,I27837315,education,education,Other,0
A5026062012,Félix Carvalho,2022,I201448701;I3143470655,Institute for Health Metrics and Evaluation;University of Washington,education;facility,Other,False,True,True,True,True,False,False,Institute for Health Metrics and Evaluation,I3143470655,facility,research_institute,Other,0
A5026062107,Nicholas Stevens,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026063050,Hai Qing,2022,I9842412,Nanjing University of Aeronautics and Astronautics,education,Other,False,True,False,False,False,False,False,Nanjing University of Aeronautics and Astronautics,I9842412,education,education,Other,0
A5026063515,Miaoyu Liu,2025,I4210166576;I76130692,First Affiliated Hospital Zhejiang University;Zhejiang University,education;healthcare,Other,False,True,False,True,True,False,False,Zhejiang University,I76130692,education,education,Other,0
A5026064427,Barret Zoph,2022,I4210103399,Saudi Heart Association,nonprofit,Other,False,False,False,False,False,False,False,Saudi Heart Association,I4210103399,nonprofit,nonprofit,Other,0
A5026064427,Barret Zoph,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026064427,Barret Zoph,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026066802,Büşra Tural,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026067903,Michael T. W. McKibben,2022,I138006243,University of Arizona,education,Other,False,True,False,False,False,False,False,University of Arizona,I138006243,education,education,Other,0
A5026068788,Bo Yuan,2023,I4210096112,Rutgers Sexual and Reproductive Health and Rights,other,Other,False,False,False,False,False,False,False,Rutgers Sexual and Reproductive Health and Rights,I4210096112,other,unknown,Other,0
A5026072498,Mengdan Zhang,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026072498,Mengdan Zhang,2025,I4210112150,Institute of Automation,facility,Other,False,False,True,False,False,False,False,Institute of Automation,I4210112150,facility,research_institute,Other,0
A5026076616,Lakshmi S Hanne,2022,I2803095145,Safe Horizon,nonprofit,Other,False,False,False,False,False,False,False,Safe Horizon,I2803095145,nonprofit,nonprofit,Other,0
A5026076885,Jagath C. Rajapakse,2024,I172675005,Nanyang Technological University,education,Other,False,True,False,False,False,False,False,Nanyang Technological University,I172675005,education,education,Other,0
A5026077706,Dheeraj Eidnani,2022,I1305429384;I130701444,Georgia Institute of Technology;JPMorgan Chase & Co (United States),company;education,Other,True,True,False,True,True,True,False,JPMorgan Chase & Co (United States),I1305429384,company,company,Other,0
A5026079724,Yizhao Gao,2022,I4210096250;I78988378,Beijing Institute of Big Data Research;Renmin University of China,education;facility,Other,False,True,True,True,True,False,False,Beijing Institute of Big Data Research,I4210096250,facility,research_institute,Other,0
A5026081471,Brian R. Bartoldson,2023,I1282311441,Lawrence Livermore National Laboratory,facility,Other,False,False,True,False,False,False,False,Lawrence Livermore National Laboratory,I1282311441,facility,research_institute,Other,0
A5026081471,Brian R. Bartoldson,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026082030,Ziyu Wan,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026087925,Charlotte Rochereau,2022,I78577930,Columbia University,education,Other,False,True,False,False,False,False,False,Columbia University,I78577930,education,education,Other,0
A5026089279,Meng‐Hua Zhu,2024,I111950717,Macau University of Science and Technology,education,Other,False,True,False,False,False,False,False,Macau University of Science and Technology,I111950717,education,education,Other,0
A5026089310,Vijay Mago,2024,I192455969,York University,education,Other,False,True,False,False,False,False,False,York University,I192455969,education,education,Other,0
A5026091724,Idan Szpektor,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026091724,Idan Szpektor,2023,I1291425158;I13955877,Bar-Ilan University;Google (United States),company;education,Google / Google DeepMind / DeepMind;Other,True,True,False,True,True,True,False,Google (United States),I1291425158,company,company,Google / Google DeepMind / DeepMind,0
A5026091724,Idan Szpektor,2024,I1291425158;I4210117425,Google (Israel);Google (United States),company,Google / Google DeepMind / DeepMind,True,False,False,True,False,False,False,Google (Israel),I4210117425,company,company,Google / Google DeepMind / DeepMind,0
A5026091793,Tanmoy Mukherjee,2022,I13469542;I4210114974,IMEC;Vrije Universiteit Brussel,education;nonprofit,Other,False,True,False,True,True,False,False,Vrije Universiteit Brussel,I13469542,education,education,Other,0
A5026092817,Peter W. Zandstra,2022,I141945490;I4210133112,Canada's Michael Smith Genome Sciences Centre;University of British Columbia,education;other,Other,False,True,False,True,False,False,False,University of British Columbia,I141945490,education,education,Other,0
A5026098803,Wei Ye,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026100921,Parisa Moridian,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5026101339,Marwan Omar,2023,I180949307,Illinois Institute of Technology,education,Other,False,True,False,False,False,False,False,Illinois Institute of Technology,I180949307,education,education,Other,0
A5026101339,Marwan Omar,2024,I180949307;I98993165,Capitol Technology University;Illinois Institute of Technology,education,Other,False,True,False,True,False,False,False,Illinois Institute of Technology,I180949307,education,education,Other,0
A5026106355,Dillam Jossue Díaz‐Romero,2022,I4210116480;I99464096,Flanders Make (Belgium);KU Leuven,company;education,Other,True,True,False,True,True,True,False,Flanders Make (Belgium),I4210116480,company,company,Other,0
A5026109629,Huaian Chen,2024,I126520041,University of Science and Technology of China,education,Other,False,True,False,False,False,False,False,University of Science and Technology of China,I126520041,education,education,Other,0
A5026110001,Zalán Borsos,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
