method,year,category_pair,edge_count,edge_weight
institution_network_edges_paper_level_all_observed_affiliations,2025,company-research_institute,281,304.0
institution_network_edges_paper_level_all_observed_affiliations,2025,company-unknown,55,61.0
institution_network_edges_paper_level_all_observed_affiliations,2025,education-education,9977,11602.0
institution_network_edges_paper_level_all_observed_affiliations,2025,education-government,823,986.0
institution_network_edges_paper_level_all_observed_affiliations,2025,education-healthcare,4162,4734.0
institution_network_edges_paper_level_all_observed_affiliations,2025,education-nonprofit,684,725.0
institution_network_edges_paper_level_all_observed_affiliations,2025,education-research_institute,2563,2873.0
institution_network_edges_paper_level_all_observed_affiliations,2025,education-unknown,567,679.0
institution_network_edges_paper_level_all_observed_affiliations,2025,government-government,25,35.0
institution_network_edges_paper_level_all_observed_affiliations,2025,government-healthcare,140,145.0
institution_network_edges_paper_level_all_observed_affiliations,2025,government-nonprofit,36,36.0
institution_network_edges_paper_level_all_observed_affiliations,2025,government-research_institute,190,269.0
institution_network_edges_paper_level_all_observed_affiliations,2025,government-unknown,25,39.0
institution_network_edges_paper_level_all_observed_affiliations,2025,healthcare-healthcare,1466,1609.0
institution_network_edges_paper_level_all_observed_affiliations,2025,healthcare-nonprofit,233,258.0
institution_network_edges_paper_level_all_observed_affiliations,2025,healthcare-research_institute,535,610.0
institution_network_edges_paper_level_all_observed_affiliations,2025,healthcare-unknown,255,296.0
institution_network_edges_paper_level_all_observed_affiliations,2025,nonprofit-nonprofit,44,45.0
institution_network_edges_paper_level_all_observed_affiliations,2025,nonprofit-research_institute,149,158.0
institution_network_edges_paper_level_all_observed_affiliations,2025,nonprofit-unknown,44,49.0
institution_network_edges_paper_level_all_observed_affiliations,2025,research_institute-research_institute,275,293.0
institution_network_edges_paper_level_all_observed_affiliations,2025,research_institute-unknown,102,129.0
institution_network_edges_paper_level_all_observed_affiliations,2025,unknown-unknown,9,12.0
